column_name,description,source,category,unit,data_type
so2_min,Minimum oxygen saturation from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,%,DOUBLE PRECISION
so2_max,Maximum oxygen saturation from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,%,DOUBLE PRECISION
po2_min,Minimum partial pressure of oxygen during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mmHg,DOUBLE PRECISION
po2_max,Maximum partial pressure of oxygen during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mmHg,DOUBLE PRECISION
pco2_min,Minimum partial pressure of carbon dioxide during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mmHg,DOUBLE PRECISION
pco2_max,Maximum partial pressure of carbon dioxide during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mmHg,DOUBLE PRECISION
aado2_min,Minimum alveolar-arterial oxygen difference during ICU stay. Measures gas exchange efficiency.,MIMIC-IV blood gas (derived),Blood Gas,mmHg,DOUBLE PRECISION
aado2_max,Maximum A-a oxygen gradient during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mmHg,DOUBLE PRECISION
aado2_calc_min,Minimum calculated alveolar-arterial oxygen difference,MIMIC-IV blood gas (derived/calculated),Blood Gas,mmHg,DOUBLE PRECISION
aado2_calc_max,Maximum calculated A-a oxygen gradient,MIMIC-IV blood gas (derived/calculated),Blood Gas,mmHg,DOUBLE PRECISION
pao2fio2ratio_min,Minimum PaO2/FiO2 ratio during ICU stay. Key measure of oxygenation used in ARDS criteria.,MIMIC-IV blood gas (derived/calculated),Blood Gas,ratio,DOUBLE PRECISION
pao2fio2ratio_max,Maximum PaO2/FiO2 ratio during ICU stay,MIMIC-IV blood gas (derived/calculated),Blood Gas,ratio,DOUBLE PRECISION
baseexcess_min,Minimum base excess during ICU stay. Measures metabolic component of acid-base status.,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
baseexcess_max,Maximum base excess during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
bicarbonate_min_1,Minimum bicarbonate from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
bicarbonate_max_1,Maximum bicarbonate from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
totalco2_min,Minimum total CO2 content during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
totalco2_max,Maximum total CO2 content during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
hematocrit_min_1,Minimum hematocrit from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,%,DOUBLE PRECISION
hematocrit_max_1,Maximum hematocrit from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,%,DOUBLE PRECISION
hemoglobin_min_1,Minimum hemoglobin from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,g/dL,DOUBLE PRECISION
hemoglobin_max_1,Maximum hemoglobin from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,g/dL,DOUBLE PRECISION
carboxyhemoglobin_min,Minimum carboxyhemoglobin during ICU stay. Measures carbon monoxide binding to hemoglobin.,MIMIC-IV blood gas (derived),Blood Gas,%,DOUBLE PRECISION
carboxyhemoglobin_max,Maximum carboxyhemoglobin during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,%,DOUBLE PRECISION
methemoglobin_min,Minimum methemoglobin during ICU stay. Hemoglobin with oxidized iron.,MIMIC-IV blood gas (derived),Blood Gas,%,DOUBLE PRECISION
methemoglobin_max,Maximum methemoglobin during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,%,DOUBLE PRECISION
temperature_min_1,Minimum temperature from blood gas analyzer during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,°C,DOUBLE PRECISION
temperature_max_1,Maximum temperature from blood gas analyzer during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,°C,DOUBLE PRECISION
chloride_min_1,Minimum chloride from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
chloride_max_1,Maximum chloride from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
calcium_min_1,Minimum ionized calcium from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mg/dL,DOUBLE PRECISION
calcium_max_1,Maximum ionized calcium from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mg/dL,DOUBLE PRECISION
glucose_min_2,Minimum glucose from blood gas analyzer during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mg/dL,DOUBLE PRECISION
glucose_max_2,Maximum glucose from blood gas analyzer during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mg/dL,DOUBLE PRECISION
potassium_min_1,Minimum potassium from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
potassium_max_1,Maximum potassium from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
sodium_min_1,Minimum sodium from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
sodium_max_1,Maximum sodium from blood gas during ICU stay,MIMIC-IV blood gas (derived),Blood Gas,mEq/L,DOUBLE PRECISION
charttime,Time at which the observation or measurement was charted/recorded,MIMIC-IV chartevents,Timestamps,,TIMESTAMP
specimen_id,Unique identifier for a specimen. Multiple measurements from same specimen share specimen_id.,MIMIC-IV labevents,Lab Identifier,,INTEGER
crp,C-reactive protein level. Acute phase reactant and marker of inflammation/infection.,MIMIC-IV labevents (derived),Inflammation Markers,mg/L,DOUBLE PRECISION
urineoutput,Total urine output during ICU stay. Key measure of kidney function and fluid balance.,MIMIC-IV outputevents (derived),Outputs,mL,DOUBLE PRECISION
height,Patient's height,MIMIC-IV chartevents/omr (derived),Anthropometrics,cm,DOUBLE PRECISION
weight_admit,Patient's weight at time of admission,MIMIC-IV chartevents/omr (derived),Anthropometrics,kg,DOUBLE PRECISION
weight,Patient's weight during ICU stay,MIMIC-IV chartevents (derived),Anthropometrics,kg,DOUBLE PRECISION
weight_min,Minimum recorded weight during ICU stay,MIMIC-IV chartevents (derived),Anthropometrics,kg,DOUBLE PRECISION
weight_max,Maximum recorded weight during ICU stay,MIMIC-IV chartevents (derived),Anthropometrics,kg,DOUBLE PRECISION

